#,ENGINEER ONLY - Enter installation client ref (excluding the letters),ENGINEER,Did the engineer arrive on time?,How satisfied were you with the quality and standard of the work that was carried out?,How satisfied were you with the connection speed demonstrated?,Based just on your install experience today how likely are you to recommend Freedom Fibre to a friend or colleague?,Please add any further comments you have that would help better our service.,Response Type,Start Date (UTC),Stage Date (UTC),Submit Date (UTC),Network ID
p3le9ip86mn6e7ilt1p3le9ilo4u4g2t,10006078,Mark,1,5,5,5,he was a very nice polite young man,completed,22/04/2023 10:24,,22/04/2023 10:28,f0f0240483
sjbuiuwndnybodqqshsjbuiujm6g984e,10005997,Daniel,1,5,4,4,"Yesterday there was no internet between 9 and 1 o'clock, didn't get a call back from freedom fibre and was told i would get a call back.",completed,22/04/2023 10:10,,22/04/2023 10:14,f0f0240483
ta8z1p5g6c0zzt0gqx9ata8z1p5motqw,10006087,Mark,1,4,2,3,"the connection keeps dropping out,",completed,22/04/2023 10:03,,22/04/2023 10:07,f0f0240483
5ijanetauhn0e9j433b5ija2fhvwruln,146406881,Paul,1,5,5,5,N/a,completed,22/04/2023 09:43,,22/04/2023 09:45,f0f0240483
zi6gx03ckvhruzi6gguaa1pzh787n3zb,10005991,Anthony,1,4,3,3,Speed at point of entry is fine although the signal strength is rubbish and am not aching the speeds on  my computer.,completed,22/04/2023 09:30,,22/04/2023 09:40,f0f0240483
d9comhqwllf5yexi5784d9comha24dk5,10005889,Paul,1,5,5,5,not at all,completed,14/04/2023 13:36,,14/04/2023 13:36,f0f0240483
b3busbk0efjd7c44cpsb3busbkecqpxu,10005442,Callum,1,5,3,5,No noticeable difference in speeds no clarity on when the appointment was,completed,14/04/2023 13:32,,14/04/2023 13:35,f0f0240483
bfvwupx41gyppi4f4k542bfvwupudb44,10005886,Anthony,1,5,4,5,no,completed,14/04/2023 09:01,,14/04/2023 09:03,f0f0240483
k31lk1gszpxzpkmtvk31tzw5ut4lwo6b,10005878,Mark,1,5,5,5,No not really it just went dead smoothly,completed,14/04/2023 08:51,,14/04/2023 08:52,f0f0240483
76pkkv9wn1bhx8e11n2tq76pkkvsqvvb,10005073,Brandon,1,5,5,5,The lad that came and fitted it was lovely,completed,13/04/2023 13:24,,13/04/2023 13:26,f0f0240483
